,name,price,original_price,reviews,Rating,Bank_offers,discount_percent
462,Portronics Twins S16 in Ear Earbuds Bluetooth,649.0,1999.0,173.0,4.0,Hot Deal,67.53376688344173
463,"boAt Nirvana Space w/ 360 Spatial Audio, ANC(~32dB), 10...",1899.0,8499.0,173.0,4.0,Bank Offer,77.65619484645252
464,"boAt Airdopes 131 Pro Buds w/ In Ear Detection, 4 Mics ...",1199.0,5490.0,173.0,4.0,Hot Deal,78.16029143897997
465,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",399.0,2999.0,173.0,3.7,Super Deals,86.69556518839613
466,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
467,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
468,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",599.0,2999.0,173.0,3.9,Bank Offer,80.02667555851951
469,"Mivi Duopods Horizon [New Launch], AI-ENC, 60 Hrs, 13mm...",899.0,3999.0,173.0,4.1,Bank Offer,77.51937984496125
470,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",699.0,1999.0,173.0,4.1,Bank Offer,65.03251625812906
471,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
472,"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799.0,2999.0,173.0,4.0,Bank Offer,73.35778592864288
473,Aroma NB126 Crown V5.4 Upto 60Hr Playtime* Dual Pairing...,599.0,2299.0,173.0,3.8,Bank Offer,73.94519356241844
474,allons TWS Bluetooth Earbuds True Wireless Headphone wi...,250.0,1599.0,105.0,3.6,Bank Offer,84.36522826766729
475,"Leaf Buds X334 True Wireless, AI SOUND App, 40H Playtim...",599.0,2999.0,242.0,3.9,Bank Offer,80.02667555851951
