,name,price,original_price,reviews,Rating,Bank_offers
95,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"₹3,999","(30,027)",3.8,Hot Deal
96,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
97,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
98,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
99,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...",₹999,"₹5,499","(7,665)",4.1,Bank Offer
100,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
101,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
102,CMF by Nothing Buds 2 Plus with 50dB Hybrid ANC| Hi-Res...,"₹2,599","₹3,999","(4,828)",4.3,Bank Offer
103,"Boult Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, Comf...","₹1,099","₹3,499","(19,308)",4.1,Bank Offer
104,Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*...,₹489,"₹3,499","(16,594)",3.7,Bank Offer
105,"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M...","₹1,499","₹1,999","(3,62,241)",4.4,Hot Deal
106,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
107,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
108,"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...","₹1,999","₹4,999","(16,851)",3.9,Hot Deal
109,"REDMI Buds 5A, 25dB ANC,30hr playtime, AI-ENC clear cal...","₹1,099","₹2,999","(19,860)",4,Hot Deal
110,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
111,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
112,"GOBOULT Mustang Derby with 100 Hrs Battery, App Support...","₹1,299","₹5,999","(81,712)",4.1,Hot Deal
113,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",₹799,"₹3,490","(7,19,265)",4,Super Deals
114,"boAt Airdopes 111v2, Leather Finish,4Mics ENx, Stream A...","₹1,009","₹4,990","(23,590)",4.1,Hot Deal
115,"boAt Airdopes 212,Translucent Lid, 50H Battery,ENx Tech...",₹999,"₹3,290","(10,904)",4.2,Bank Offer
116,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
117,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
118,"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",₹999,"₹3,499","(18,583)",3.9,Bank Offer
119,"CMF by Nothing Buds 2a, 42 dB ANC, 12.4mm Driver, Dirac...","₹1,799","₹2,499","(74,322)",4.3,Bank Offer
120,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
121,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
122,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
123,"realme Buds Air7 with 52dB ANC, 12.4mm Driver, 52hrs Pl...","₹2,999","₹4,999","(32,278)",4.5,Hot Deal
124,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,"₹2,999","(37,422)",3.8,Only 3 left
125,"GOBOULT Z40 Pro with 100Hr, 4 Mic ENC, Scratch Proof, R...","₹1,299","₹5,499","(1,63,620)",4.1,Only 4 left
126,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
127,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
128,"PARADISEECOM Max UltraPods Bluetooth Earbuds, Transpare...",₹430,₹699,N/A,N/A,Only 2 left
129,"GOBOULT Mustang Torq 60Hrs, App Support, 4Mic ENC, Brea...","₹1,799","₹5,999","(81,712)",4.1,Bank Offer
130,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
131,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
132,"GOBOULT Y1 with Zen ENC Mic, 50H Battery, Fast Charging...",₹899,"₹5,499","(5,76,067)",4.1,Only 1 left
133,"realme Buds T200x with 25dB ANC,12.4mm Dynamic Bass Dri...","₹1,299","₹2,499","(1,24,365)",4.3,Hot Deal
134,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
135,"GOBOULT Mustang Torq 60Hrs, App Support, 4Mic ENC, Brea...","₹1,799","₹5,999","(81,712)",4.1,Bank Offer
136,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
137,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
138,"BITWEAVE Airpox pro 2 with B205 Driver (USB-C) , Spatia...",₹380,"₹2,000",N/A,N/A,Only few left
139,"GOBOULT W20 with ENC Mic, 40Hrs Battery Life, Low Laten...",N/A,N/A,"(2,64,518)",4.1,N/A
140,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
141,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
142,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,₹698,"₹4,999","(10,117)",4.1,Hot Deal
143,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"₹1,799","₹2,299","(3,62,241)",4.4,Bank Offer
144,"realme Buds Air7 with 52dB ANC, 12.4mm Driver, 52hrs Pl...","₹2,999","₹4,999","(32,278)",4.5,Bank Offer
145,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
146,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
147,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
148,PARADISEECOM (2nd generation) ANC Deep Bess Bluetooth,₹621,₹699,N/A,N/A,Only 2 left
149,"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,199","₹1,999","(4,39,861)",4.2,Bank Offer
150,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
151,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
152,"boAt Airdopes 71,40 H Battery, ENx Tech, Low Latency, S...",₹899,"₹3,990","(1,49,406)",3.9,Bank Offer
153,"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...","₹1,399","₹3,499","(20,034)",4.1,Bank Offer
154,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"₹2,499","(43,427)",4.1,Hot Deal
155,"HOPPUP S40 Earbuds with 13MM Drivers, 40H Playtime, Rag...",₹599,"₹3,999","(68,190)",4.1,Hot Deal
156,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
157,"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",₹999,"₹5,999","(1,44,987)",4.1,Bank Offer
158,"Portronics Harmonics Twins S18 in Ear TWS Earbud,30H Pl...",₹646,"₹1,999","(1,713)",3.9,Bank Offer
159,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...","₹1,099","₹3,499","(1,37,386)",4.1,Bank Offer
160,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
161,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
162,MOTOROLA Moto Buds Bass |Hi-Res Audio & LDAC | 12.4mm d...,"₹1,999","₹4,999","(13,336)",4.1,Hot Deal
163,"boAt Airdopes Alpha Gen 2, 13mm Drivers,ENx,45H Battery...",₹999,"₹3,990","(13,346)",3.8,Bank Offer
164,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹1,899","₹9,990","(1,41,630)",4.1,Bank Offer
165,"realme Buds Air 7 Pro with 53dB ANC,360 Spatial Audio, ...","₹4,999","₹7,999","(5,764)",4.4,Hot Deal
166,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
167,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
168,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,₹299,"₹1,999","(10,561)",3.7,Bank Offer
169,"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...","₹4,099","₹6,499","(50,088)",4.5,Hot Deal
170,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
171,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
172,"OnePlus Buds 4 55dB ANC, 45 hrs Playback, Dual Drivers ...","₹5,299","₹6,499","(3,830)",4.5,Bank Offer
173,"truke Buds Lite with 60H Playtime, Deep Bass, 13mm Spea...",₹699,"₹2,499","(3,790)",4,Bank Offer
174,"boAt Airdopes 131 Gen 2, 13mm Drivers, 70H Battery, ENx...",₹999,"₹2,990","(20,47,075)",4,Bank Offer
175,"CMF by Nothing Buds 2 48 dB Hybrid ANC, Ultra Bass Tech...","₹2,399","₹2,999","(7,756)",4.4,Hot Deal
176,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
177,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
178,"boAt Airdopes 301,75H Battery, 4Mics ENx, ASAP Charge, ...","₹1,299","₹4,990","(12,567)",3.9,Bank Offer
179,"GOBOULT Raven 70Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹4,999","(23,495)",4.1,Super Deals
180,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
181,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
182,"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",₹999,"₹1,999","(1,925)",4.1,Bank Offer
183,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...",₹999,"₹5,499","(7,665)",4.1,Bank Offer
184,"realme Buds Air 7 Pro with 53dB ANC,360 Spatial Audio, ...","₹4,999","₹7,999","(5,764)",4.4,Hot Deal
185,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"₹2,899","(19,557)",4.1,Hot Deal
186,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
187,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
188,"boAt Airdopes Alpha Gen 2, 13mm Drivers,ENx,45H Battery...",₹999,"₹3,990","(13,346)",3.8,Bank Offer
189,"GOBOULT W20 with ENC Mic, 40Hrs Battery Life, Low Laten...",₹799,"₹2,499","(2,64,518)",4.1,Only 2 left
190,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
191,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
192,Nothing Ear (a) 2024 | ChatGPT Compatible | Hi-Res audi...,"₹4,999","₹9,999","(4,233)",4.1,Hot Deal
193,"Soundcore by Anker R50i Vi, 30Hr Playtime, Deep Bass, 2...",₹899,"₹2,998","(2,554)",4.2,Bank Offer
194,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,299","₹6,490","(1,87,748)",4.1,Bank Offer
195,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","₹1,199","₹3,999","(1,27,979)",3.8,Super Deals
196,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
197,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
198,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,299","₹6,490","(1,87,748)",4.1,Only few left
199,boAt Airdopes 91 Bluetooth,₹999,"₹4,990","(16,679)",3.8,Bank Offer
200,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
201,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
202,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"₹3,999","(30,027)",3.8,Hot Deal
203,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","₹1,599","₹6,490","(24,729)",4.1,Bank Offer
204,"Mivi Duopods Horizon [New Launch], AI-ENC, 60 Hrs, 13mm...",₹899,"₹3,999","(8,073)",4.1,Bank Offer
205,"boAt Airdopes 71,40 H Battery, ENx Tech, Low Latency, S...",₹899,"₹3,990","(1,49,406)",3.9,Hot Deal
206,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
207,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
208,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
209,"realme Buds T200 Hi-Res with 32dB ANC,12.4mm driver Qua...","₹1,499","₹2,999","(92,622)",4.3,Hot Deal
210,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
211,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
212,"ZEBRONICS Zeb-Pods K2, Upto 40H Backup, Dual EQ Mode,Qu...",₹799,"₹4,499","(1,058)",4,Bank Offer
213,"realme Buds Air7 with 52dB ANC, 12.4mm Driver, 52hrs Pl...","₹2,999","₹4,999","(32,278)",4.5,Bank Offer
